index,trial,block,image_left,image_right,old_image,new_image,button,subject_index,valid,idx_trial_subj,left_is_new,right_is_new,old_new_comb,category_left,category_right,time_left,time_right,longer_left,longer_right,avg_dur_left,avg_dur_right,longer_avg_dur_left,longer_avg_dur_right
2133,134,3,15,171,2,1,2,11,True,6527,True,False,1,humans,humans,0.7159817351598173,0.28401826484018267,True,False,392.0,311.0,True,False
2134,135,3,135,99,1,2,1,11,True,6576,False,True,3,faces,indoor,0.4844995571302037,0.5155004428697962,False,True,182.33333333333334,388.0,False,True
2135,136,3,184,27,2,1,2,11,True,6625,True,False,1,indoor,urban,0.5695876288659794,0.43041237113402064,True,False,331.5,334.0,False,True
2136,137,3,164,122,1,2,1,11,True,6674,False,True,3,natural,humans,0.38636363636363635,0.6136363636363636,False,True,294.6666666666667,234.0,True,False
2137,138,3,70,82,2,1,2,11,True,6723,True,False,1,natural,urban,0.5716928769657724,0.4283071230342276,True,False,247.2,231.5,True,False
2138,139,3,79,37,1,2,1,11,True,6772,False,True,3,humans,urban,0.5542806707855251,0.4457193292144748,True,False,251.2,252.5,False,True
2139,140,3,180,134,1,2,1,11,True,6821,False,True,3,faces,urban,0.28624192059095105,0.7137580794090489,False,True,155.0,309.2,False,True
2140,141,3,63,198,2,1,2,11,True,6870,True,False,1,faces,humans,0.5070555032925682,0.4929444967074318,True,False,215.6,209.6,True,False
2141,142,3,46,36,1,2,1,11,True,6919,False,True,3,urban,indoor,0.286734693877551,0.713265306122449,False,True,562.0,279.6,True,False
2142,143,3,131,48,1,2,1,11,True,6968,False,True,3,urban,indoor,0.24192139737991267,0.7580786026200873,False,True,184.66666666666666,248.0,False,True
2143,144,3,98,193,1,2,1,11,True,7017,False,True,3,natural,natural,0.687557603686636,0.31244239631336407,True,False,248.66666666666666,339.0,False,True
2144,145,3,68,169,1,2,1,11,True,7066,False,True,3,urban,urban,0.09320557491289198,0.9067944250871081,False,True,214.0,297.42857142857144,False,True
2145,146,3,89,73,1,2,1,11,True,7115,False,True,3,urban,humans,0.5907019143117593,0.40929808568824066,True,False,324.0,224.5,True,False
2146,147,3,104,190,1,2,1,11,True,7164,False,True,3,indoor,indoor,0.4275296262534184,0.5724703737465816,False,True,312.6666666666667,314.0,False,True
2147,148,3,76,122,2,1,2,11,True,7213,True,False,1,faces,humans,0.6524500907441017,0.34754990925589835,True,False,239.66666666666666,383.0,False,True
2148,149,3,21,110,2,1,2,11,True,7262,True,False,1,urban,faces,0.4911816578483245,0.5088183421516755,False,True,222.8,230.8,False,True
2149,150,3,155,157,1,2,1,11,True,7311,False,True,3,urban,humans,0.3020833333333333,0.6979166666666666,False,True,232.0,268.0,False,True
2150,151,3,42,114,1,2,2,11,True,7360,False,True,3,noise,humans,0.0,1.0,False,True,,300.0,False,False
2151,152,3,86,9,2,1,2,11,True,7409,True,False,1,natural,humans,0.3016564952048823,0.6983435047951178,False,True,346.0,228.85714285714286,True,False
2152,153,3,60,115,2,1,2,11,True,7458,True,False,1,urban,natural,0.5709251101321586,0.4290748898678414,True,False,259.2,324.6666666666667,False,True
2153,154,3,99,24,1,2,1,11,True,7507,False,True,3,indoor,indoor,0.225531914893617,0.774468085106383,False,True,530.0,303.3333333333333,True,False
2154,155,3,54,160,2,1,2,11,True,7556,True,False,1,urban,faces,0.4344335414808207,0.5655664585191793,False,True,243.5,211.33333333333334,True,False
2155,156,3,194,61,1,2,1,11,True,7605,False,True,3,natural,natural,0.39872842870118075,0.6012715712988193,False,True,219.5,264.8,False,True
2156,157,3,116,105,2,1,2,11,True,7654,True,False,1,natural,humans,0.2412914188615123,0.7587085811384877,False,True,284.0,357.2,False,True
2157,158,3,190,95,1,2,1,11,True,7703,False,True,3,indoor,faces,0.17458945548833188,0.8254105445116681,False,True,404.0,477.5,False,True
2158,159,3,127,139,2,1,2,11,True,7752,True,False,1,faces,humans,0.3380281690140845,0.6619718309859155,False,True,256.0,250.66666666666666,True,False
